testpoint, 100.0,100.0,100.0
testpoint1, 100.1,100.1,100.1
testpoint2, 0.0,0.0,0.0
U2Am^BK513, 84.5688,40.1193,33.4893
kuZ*@rb@0p, 57.0092,18.2171,80.3456
I%*9p5ySVS, 34.4373,41.7034,7.5107
x2XKjrluOL, 4.38226,83.0642,63.2446
N!tKI%n@GW, 45.3731,74.0367,49.8471
XjszETApBr, 41.9235,29.5963,79.9327
uTDyURGFIF, 97.5963,85.9725,25.4251
qCiNaZtH3N, 26.0122,75.9939,70.1254
Rhcci@^XgR, 69.3914,40.5688,80.104
*^1#c&u&fO, 54.6575,22.6575,54.9235
Ekni0&xfew, 16.4893,62.2416,49.315
3pLH2%56PO, 71.4342,83.8471,14.4557
j9^*jjE8uB, 57.3945,65.6055,11.4251
u$G1bMfY$$, 51.1621,14.7125,47.3639
^FNbw^Q8hJ, 58.3853,13.4924,71.4281
Gv!LieWPn&, 63.7829,72.4587,41.4404
U3J8ZNEnOP, 24.4709,14.2966,66.2141
VVGcC7s9zV, 14.8593,32.2446,97.6391
4D&DPwmUV7, 42.2936,38.055,78.474
a959q*8!jD, 41.0703,61.5321,41.5291
uKYStIDwur, 13.0428,65.1284,44.315
EbFLR#Imlw, 50.6605,91.9235,13.3028
9cTWCUe^2P, 61.9878,37.0673,70.1651
tB2I8#HXit, 23.2446,85.0122,82.419
Ga9wn*$u03, 23.3058,29.2997,24.6606
&$VnQqnTH5, 60.3272,34.6544,79.8899
IBhf8jM8%7, 6.69113,62.6514,79.4526
gYoN&xXv9D, 88.4893,24.844,18.4679
fr5ZO2DGxF, 39.3547,86.4648,24.3547
PHQ8#H#Hpp, 16.9174,67.5291,48.8165
wd4A1iOcz#, 87.1774,54.8135,22.3486
sH8#%EDRAe, 98.208,97.8287,46.7859
F0#!Fu&RG^, 79.0275,46.5719,71.2844
wM$UHiP9ul, 2.25076,12.6789,0.458716
A&P$8EmU77, 15.5321,9.91743,56.7859
UE6lGWmM48, 63.3639,19.6177,21.1162
